Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
237, -0.12105, 0.20205, 9.84105, -0.02363, 0.02363, -0.04727
238, -0.11895, 0.19695, 9.83595, 0.04727, 0.02363, 0.02363
239, -0.09, 0.19995, 9.81495, -0.02363, 0.02363, 0.02363
240, -0.117, 0.195, 9.82395, -0.02363, -0.04727, 0.02363
241, -0.126, 0.204, 9.83595, 0.04727, 0.02363, -0.04727
242, -0.12105, 0.18495, 9.822, -0.02363, 0.02363, 0.02363
243, -0.11205, 0.21105, 9.82695, -0.02363, 0.02363, 0.02363
244, -0.126, 0.19695, 9.822, 0.04727, -0.04727, 0.02363
245, -0.093, 0.20205, 9.83895, -0.02363, -0.04727, 0.02363
246, -0.114, 0.204, 9.81195, -0.02363, -0.04727, -0.04727
247, -0.09495, 0.192, 9.82905, -0.02363, 0.02363, -0.04727
248, -0.114, 0.18795, 9.831, -0.02363, 0.02363, 0.02363
249, -0.114, 0.19695, 9.834, 0.04727, 0.02363, 0.02363
250, -0.08805, 0.17295, 9.82695, -0.02363, -0.04727, 0.02363
251, -0.10695, 0.192, 9.822, -0.02363, 0.02363, 0.02363
252, -0.117, 0.19695, 9.83595, -0.02363, 0.02363, 0.02363
253, -0.09705, 0.195, 9.82905, -0.02363, 0.02363, -0.04727
254, -0.10695, 0.19005, 9.81705, 0.04727, -0.04727, 0.02363
255, -0.105, 0.19695, 9.831, -0.02363, 0.02363, -0.04727
256, -0.11205, 0.20205, 9.819, -0.02363, 0.02363, 0.02363
257, -0.10005, 0.192, 9.82395, -0.02363, 0.02363, 0.02363
258, -0.10695, 0.204, 9.82395, -0.02363, 0.02363, 0.02363
259, -0.10695, 0.18795, 9.83595, -0.02363, -0.04727, -0.04727
260, -0.114, 0.204, 9.843, -0.02363, 0.02363, 0.02363
261, -0.09495, 0.19695, 9.82395, 0.04727, 0.02363, 0.02363
262, -0.11895, 0.19695, 9.83895, 0.04727, 0.02363, -0.04727
263, -0.09705, 0.19005, 9.81195, 0.04727, -0.04727, -0.04727
264, -0.12105, 0.21405, 9.83895, -0.02363, -0.04727, 0.02363
265, -0.12105, 0.21405, 9.83895, -0.02363, -0.04727, -0.11817
266, -0.102, 0.195, 9.81495, 0.04727, -0.04727, -0.04727
267, -0.10005, 0.207, 9.83595, 0.04727, -0.04727, 0.02363
268, -0.11205, 0.19005, 9.831, 0.04727, 0.02363, 0.02363
269, -0.12105, 0.204, 9.83595, -0.02363, -0.04727, 0.02363
270, -0.11205, 0.19005, 9.82695, -0.02363, 0.02363, 0.09454
271, -0.11205, 0.192, 9.831, -0.02363, 0.02363, 0.02363
272, -0.10005, 0.19005, 9.83595, -0.02363, 0.02363, 0.02363
273, -0.10005, 0.19005, 9.83595, 0.04727, 0.02363, -0.04727
274, -0.10905, 0.21105, 9.82905, -0.02363, 0.02363, -0.04727
275, -0.12405, 0.183, 9.831, 0.04727, 0.02363, -0.04727
276, -0.114, 0.19995, 9.831, -0.02363, 2.54465, -0.04727
277, -0.24105, 0.204, 9.906, 0.60662, 9.8871, 0.16544
278, -0.19095, 0.17595, 9.831, 0.25998, 2.11923, 0.09454
279, -0.198, 0.207, 9.75, 0.04727, -5.1602, -0.04727
280, -0.198, 0.207, 9.75, -0.65389, -5.57774, 0.02363
