SrNo, Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro 
285, 1737995755847, 11.496, -12.74205, -2.88795, -111.87788, -104.4015, -80.56216
286, 1737995755862, 13.971, -12.72, -2.77995, -117.40836, -88.57426, -98.34319
287, 1737995755879, 15.79095, -12.48105, -2.71995, -125.60166, -65.54637, -117.66046
288, 1737995755896, 15.789, -12.74205, -2.47395, -137.78131, -27.18756, -141.38951
289, 1737995755912, 15.789, -12.74205, -2.47395, -154.0182, 37.69704, -171.20837
290, 1737995755930, 13.95705, -13.422, -1.85295, -158.21727, 86.69926, -187.7998
291, 1737995755945, 12.05595, -13.81695, -1.497, -151.5681, 136.26082, -202.84711
292, 1737995755961, 10.69095, -13.69695, -1.69095, -141.13741, 160.40741, -211.45796
293, 1737995755978, 9.82695, -13.209, -2.41395, -127.06699, 176.36859, -220.2106
294, 1737995755995, 9.003, -12.579, -3.06, -121.26079, 176.51039, -227.00159
295, 1737995756012, 7.70295, -11.86095, -2.505, -114.4698, 166.70995, -235.95905
296, 1737995756029, 7.70295, -11.86095, -2.505, -104.18092, 158.17001, -239.11034
297, 1737995756045, 6.07695, -10.95105, -1.42005, -82.68927, 143.95779, -237.92073
298, 1737995756069, 4.749, -10.032, -0.81195, -56.51011, 121.34745, -234.69855
299, 1737995756082, 3.33105, -8.59005, -0.55605, -36.70439, 101.25812, -232.03574
300, 1737995756094, 2.08905, -7.06005, -0.76905, -17.93859, 74.86624, -229.5226
301, 1737995756111, 0.384, -6.213, -1.08, 3.48215, 33.29314, -216.98843
302, 1737995756127, -1.215, -5.65995, -1.30695, 14.4722, -1.9853, -194.59079
303, 1737995756144, -1.87995, -4.494, -1.27605, 19.99479, -42.66029, -160.43105
304, 1737995756160, -1.87995, -4.494, -1.27605, 18.31674, -56.93553, -136.97774
305, 1737995756177, -2.00895, -3.63405, -0.59595, 17.48166, -61.1346, -118.21981
306, 1737995756195, -1.04895, -3.01395, -0.096, 12.71537, -50.42817, -102.40045
307, 1737995756211, 0.147, -3.83505, -1.62405, 6.98006, -50.28635, -92.25336
308, 1737995756228, 0.11595, -5.14995, -2.05695, 13.34562, -88.29853, -69.57211
309, 1737995756245, -1.332, -5.727, -1.83405, 23.35877, -105.09478, -38.63454
310, 1737995756261, -2.78805, -6.24405, -0.759, 48.27742, -97.53962, 28.2196
311, 1737995756278, -2.78805, -6.24405, -0.759, 74.18085, -67.01959, 82.04326
